Page 1
UNION COAST BANK,,Statement period,,
Statement of Account,,"July 1 - July 31, 2026",,
JOHN A. MILLER,,Account number,,
1420 MAPLE STREET APT 3B,,****,**** 4821,
"SPRINGFIELD, IL 62704",,Account type: Everyday Checking,,
DATE,DESCRIPTION,,DEBIT CREDIT,BALANCE
07/01,OPENING BALANCE,,,"2,417.68"
07/02,PAYROLL DEPOSIT ACME LOGISTICS INC,,"3,184.55","5,602.23"
07/02,RENT PAYMENT MAPLE COURT PROPERTIES,"1,450.00",,"4,152.23"
07/03,POS PURCHASE WALMART SUPERCENTER #2317,,86.42,"4,065.81"
07/03,SHELL OIL 574128 SPRINGFIELD IL,,48.10,"4,017.71"
07/05,NETFLIX.COM SUBSCRIPTION,,15.49,"4,002.22"
07/05,ATM WITHDRAWAL MAIN ST BRANCH,,120.00,"3,882.22"
07/06,STARBUCKS STORE 08842,,7.85,"3,874.37"
07/07,AMAZON MKTPL US*RT4KL92H3,,132.77,"3,741.60"
07/08,VERIZON WIRELESS AUTOPAY,,94.20,"3,647.40"
07/09,TRADER JOES #451,,78.63,"3,568.77"
07/10,ZELLE TRANSFER TO D. PARKER,,200.00,"3,368.77"
07/11,CHEVRON 0093471,,52.34,"3,316.43"
07/12,SPOTIFY USA,,11.99,"3,304.44"
07/13,POS PURCHASE TARGET T-1188,,164.08,"3,140.36"
07/14,ELECTRIC CO AUTOPAY,,137.62,"3,002.74"
07/15,PAYROLL DEPOSIT ACME LOGISTICS INC,,"3,184.55","6,187.29"
07/16,HOME DEPOT #6612,,219.40,"5,967.89"
07/17,UBER TRIP HELP.UBER.COM,,24.15,"5,943.74"
07/18,CVS PHARMACY #4402,,36.90,"5,906.84"
07/19,INTEREST PAYMENT,,1.83,"5,908.67"
07/20,POS PURCHASE COSTCO WHSE #0331,,287.55,"5,621.12"
07/21,DELTA AIR LINES 0062418,,412.00,"5,209.12"
07/22,MONTHLY SERVICE FEE,,12.00,"5,197.12"
07/23 Page 1 of 2,ZELLE TRANSFER FROM M. RUIZ,,150.00,"5,347.12"
Member FDIC. Questions about this statement: 1-800-555-0142,,,,

Page 2
UNION COAST BANK,,Statement period,,
Statement of Account,,"July 1 - July 31, 2026",,
JOHN A. MILLER,,Account number,,
1420 MAPLE STREET APT 3B,,****,**** 4821,
"SPRINGFIELD, IL 62704",,Account type: Everyday Checking,,
DATE,DESCRIPTION,,DEBIT CREDIT,BALANCE
07/24,CHIPOTLE ONLINE 2274,,21.36,"5,325.76"
07/25,GEICO AUTO INSURANCE,,128.44,"5,197.32"
07/26,POS PURCHASE KROGER #0917,,95.21,"5,102.11"
07/27,APPLE.COM/BILL,,2.99,"5,099.12"
07/28,ATM WITHDRAWAL 5TH AVE,,80.00,"5,019.12"
07/29,PAYROLL DEPOSIT ACME LOGISTICS INC,,"3,184.55","8,203.67"
07/29,CITY WATER DEPT AUTOPAY,,64.18,"8,139.49"
07/30,POS PURCHASE BEST BUY #1104,,349.99,"7,789.50"
07/31,OVERDRAFT PROTECTION FEE,,10.00,"7,779.50"
07/31,CLOSING BALANCE,,,"7,779.50"
,,Total deposits,,"9,705.48"
,,Total withdrawals,,"4,343.66"
,,Ending balance Page 2 of 2,,"7,779.50"
Member FDIC. Questions about this statement: 1-800-555-0142,,,,
